Cinsiyet (Gender),Günlük ders tekrarı yapıyor musunuz ? (Do you repeat your classes daily ?),Derslere arkadaş grubu ile mi çalışıyorsunuz yalnız mı çalışıyorsunuz?  (For your classes do you work alone or do you work as a group of friends ?),Çalışırken yazarak çalışmayı mı yoksa okuyarak çalışmayı mı tercih ediyorsunuz ? (While studying do you prefer reading or writing ?),Günlük ulaşıma ortalama ne kadar zaman harcıyorsunuz ?(How many hours on average do you spend for transportation daily?),Hour,Sınav döneminde stres düzeyinize 0-10 arasında kaç puan verirsiniz?(How many points would you give for you stress level in your exam period?),Sınav döneminde ortalama kaç saat uyuyorsunuz ?(How many hours do you sleep in your exam period?),Sınav döneminde kafein tüketiminize kaç puan verirsiniz?(How many points would you give for caffeine consumption in exam period?),Genel Not Ortalamanız ? (Örneğin 3.50)GPA ? (Eg: 3.50 )
2,2,3,2,3,2,7,10,8,2.48
2,2,1,3,1,4,11,5,9,2.8
1,2,3,1,1,2,1,7,11,2.32
1,1,1,1,3,8,8,4,11,3.62
1,2,3,3,3,0,11,7,1,2.83
2,2,2,3,3,6,8,7,4,2.47
2,1,3,3,4,13,11,9,2,3.85
1,2,3,1,1,10,8,8,7,3.4
2,2,3,1,3,2,9,7,11,2.9
2,2,3,3,4,7,10,7,11,2.44
2,2,3,3,1,7,10,6,10,2.62
2,2,3,1,2,4,7,5,5,2.86
1,2,3,3,1,8,9,6,8,2.99
2,1,1,2,4,16,8,5,8,2.5
1,2,3,3,1,4,7,7,9,2.2
2,2,3,1,1,6,6,7,11,2.98
1,2,2,3,4,10,6,7,11,2.8
1,1,2,1,4,7,8,6,6,3.23
2,2,2,1,2,8,8,5,11,3.43
2,1,1,3,4,8,6,7,9,0
2,2,3,1,3,9,11,8,11,2.21
2,1,1,3,3,8,8,7,4,3.45
2,2,3,1,2,2,6,8,8,3.18
2,2,3,3,3,3,11,7,7,3.53
1,2,3,1,2,6,6,4,6,3.74
2,2,3,3,2,10,8,8,11,2.32
2,2,2,1,2,5,10,7,10,3
1,2,3,2,4,5,4,9,11,3.2
2,1,1,2,3,23,11,5,2,0
2,1,1,1,3,8,9,5,11,3.1
2,2,1,1,2,15,11,9,2,2.98
2,1,3,1,3,18,9,7,9,3.18
2,2,3,1,3,3,9,6,8,3.5
1,2,3,1,3,4,11,11,11,3
2,2,1,2,1,2,11,8,11,2.6
1,2,3,1,1,6,1,5,6,3.1
2,1,1,1,1,7,10,7,5,3.86
2,2,3,1,3,4,9,6,6,0
2,2,3,3,3,2,5,9,5,2.7
2,1,2,1,2,5,9,7,9,2.3
2,2,1,2,1,4,10,8,7,3.18
2,2,2,1,3,8,8,7,9,0
2,1,1,1,3,8,7,8,8,0
1,1,3,3,1,10,9,5,11,2.65
1,2,1,3,2,8,10,6,6,3.2
1,2,1,2,3,4,6,7,3,3.58
1,2,3,3,4,7,7,7,2,3.33
1,2,1,1,3,8,8,9,3,3.89
1,1,3,1,2,5,5,8,11,2.85
1,2,3,3,3,12,11,1,11,2.6
2,2,3,3,1,8,11,4,9,3.8
2,2,3,1,1,5,8,7,11,3.49
1,2,1,3,3,2,8,9,4,1.07
2,2,3,3,1,12,11,4,11,3
2,2,3,1,1,3,11,3,11,1.6
2,2,3,1,2,5,8,6,8,2.65
1,1,1,3,3,5,11,5,11,2.8
2,2,3,1,1,14,11,5,11,2.9
1,2,3,3,2,4,8,6,4,2.6
1,2,3,3,2,24,11,5,11,2.4
1,2,3,1,3,6,8,8,10,2.1
1,2,2,3,4,12,11,6,9,2.7
1,2,3,1,2,6,9,8,8,2.89
1,2,3,3,3,5,11,7,3,2.71
1,2,1,1,4,8,10,8,1,1.82
1,2,2,2,4,3,6,8,11,1.8
1,2,3,3,4,8,6,7,8,3.5
1,1,1,1,2,6,8,6,7,3
1,2,3,3,1,3,9,7,6,2.7
1,1,3,2,4,15,8,8,3,3.66
1,2,1,2,3,3,10,6,4,2.05
2,2,1,1,1,5,9,7,5,1.4
1,1,2,3,2,6,8,7,7,3.44
1,2,1,3,3,5,7,7,4,1.67
1,2,2,3,3,10,10,5,8,2.37
1,1,2,1,3,8,6,7,5,3.23
1,2,1,2,4,1,1,9,1,2.9
1,1,3,3,2,6,11,6,7,3.5
1,2,3,2,4,4,7,9,4,3.32
2,1,3,3,2,15,11,4,6,0
1,2,3,3,3,8,8,6,7,3.49
1,2,3,2,3,1,1,8,2,3.45
2,2,3,3,3,10,8,5,10,3.35
1,1,3,3,2,3,8,7,3,3.99
1,1,1,2,4,2,6,9,6,2.7
1,2,2,2,3,5,8,5,8,3
1,2,2,2,1,4,9,6,11,2.3
1,2,3,1,4,2,11,4,1,2.13
2,1,1,1,1,2,3,4,3,2.3
2,2,3,3,4,5,7,8,3,2.81
1,2,1,3,3,5,9,9,6,3.2
1,2,3,3,2,6,4,7,9,3.5
3,2,2,1,4,24,11,1,11,1.41
1,2,1,2,4,2,8,7,2,2.15
1,1,1,3,3,5,8,4,11,3.17
2,2,3,3,3,4,9,9,6,3.37
2,1,3,1,2,5,6,7,1,3.5
1,2,1,1,3,12,7,6,1,3.15
2,1,1,1,3,6,11,5,6,2.5
2,1,1,2,1,4,2,7,9,3.2
2,2,3,2,1,5,2,10,11,2
